iter,decision,scoreA,scoreB,delta,corrA,cosA,rmseA,psnrA,klA,corrB,cosB,rmseB,psnrB,klB,tie_diff,timestamp
1,Tie,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0000000596046483,0.0,180.0,0.0,1.0,1.0000000596046483,0.0,180.0,0.0,0.02,1759196430.2457159
2,Tie,0.9999999999999999,0.9999999999999999,0.0,1.0,1.0000000596046874,0.0,180.0,0.0,1.0,1.0000000596046874,0.0,180.0,0.0,0.02,1759196466.2259028
3,Tie,0.9999999642372132,0.9999999642372132,0.0,0.9999998211860657,1.0000000596047371,0.0,180.0,0.0,0.9999998211860657,1.0000000596047371,0.0,180.0,0.0,0.02,1759196515.610292
