iter,decision,simA,simB,sharpA,sharpB,timestamp
110,Reconstruction A,,,905.5985107421875,405.4676513671875,1759418082.2058969
111,Reconstruction A,,,1095.110595703125,405.4676513671875,1759418088.4909897
112,Reconstruction A,,,1786.017578125,403.7351989746094,1759418094.8515515
113,Reconstruction A,,,1558.6278076171875,405.4676513671875,1759418101.2150972
114,Reconstruction A,,,2921.447021484375,403.6817321777344,1759418107.664622
115,Reconstruction A,,,737.619140625,405.4676513671875,1759418114.1821709
116,Reconstruction A,,,1116.3016357421875,405.4676513671875,1759418120.540811
117,Reconstruction A,,,688.7119750976562,405.4676513671875,1759418126.873155
118,Reconstruction A,,,819.5770874023438,403.66375732421875,1759418133.423501
119,Reconstruction A,,,612.9832153320312,405.4676513671875,1759418140.020064
120,Reconstruction B,,,784.9869384765625,1305.1929931640625,1759418146.3744245
121,Reconstruction A,,,936.1412963867188,405.4676513671875,1759418152.7761505
122,Reconstruction A,,,724.8767700195312,405.4676513671875,1759418159.145433
123,Reconstruction B,,,723.4804077148438,1124.31494140625,1759418165.7904136
124,Reconstruction A,,,764.5765380859375,405.4676513671875,1759418172.1816485
125,Reconstruction A,,,794.465087890625,405.4676513671875,1759418178.7786984
126,Reconstruction A,,,1038.0279541015625,405.4676513671875,1759418185.0981956
127,Reconstruction B,,,827.4164428710938,1458.3074951171875,1759418192.0748937
128,Reconstruction A,,,962.1227416992188,405.4676513671875,1759418198.3904583
129,Reconstruction A,,,595.5018310546875,405.4676513671875,1759418204.8044972
130,Reconstruction A,,,845.9835205078125,405.4676513671875,1759418211.2675543
131,Reconstruction A,,,864.1726684570312,405.4676513671875,1759418217.545664
132,Reconstruction A,,,1073.9525146484375,405.4676513671875,1759418223.9417064
133,Reconstruction B,,,718.3930053710938,2391.30908203125,1759418230.5921197
134,Reconstruction A,,,1260.3341064453125,405.4676513671875,1759418236.8557172
135,Reconstruction B,,,750.4747314453125,831.1373901367188,1759418243.2814603
136,Reconstruction A,,,682.963134765625,403.6817321777344,1759418249.7342036
137,Reconstruction A,,,706.34619140625,405.4676513671875,1759418256.2309875
138,Reconstruction A,,,2921.447021484375,403.66375732421875,1759418262.5411854
139,Reconstruction A,,,594.93359375,405.4676513671875,1759418268.9238098
140,Reconstruction A,,,801.078125,405.4676513671875,1759418275.2714844
141,Reconstruction B,,,817.9420166015625,1518.463623046875,1759418281.6920555
142,Reconstruction A,,,1197.4962158203125,405.4676513671875,1759418288.1296523
143,Reconstruction A,,,718.7612915039062,405.4676513671875,1759418294.500596
144,Reconstruction A,,,1151.5421142578125,405.4676513671875,1759418300.9772453
145,Reconstruction A,,,1020.121337890625,403.6817321777344,1759418307.3569617
146,Reconstruction B,,,922.9257202148438,1014.1737060546875,1759418313.753152
